dataset,image,scale,region_type,target_box_left,target_box_top,target_box_right,target_box_bottom,grid_rows,grid_columns,segment_count,lime_samples,shap_samples,original_target_psnr_y,lime_full_mask_psnr_y,lime_mean_perturbed_psnr_y,lime_min_perturbed_psnr_y,lime_mean_drop_psnr_y,shap_full_mask_psnr_y,baseline_seconds,lime_seconds,shap_seconds,lime_figure,shap_figure
Set5,baby.png,x2,smooth face and gradual colour regions,208,208,304,304,8,8,64,96,96,46.27678483469481,46.27678483469481,32.69280881930504,26.45966773684952,13.583976015389766,46.27678483469481,1.222720693000042,7.332322678999958,5.227151280000044,figures/Set5_baby_x2/lime_importance_final.png,figures/Set5_baby_x2/shap_importance_final.png
Set5,butterfly.png,x3,fine lines and high-frequency texture,80,80,176,176,8,8,64,96,96,31.79184687259163,31.79184687259163,17.371416742561568,14.701683673882497,14.420430130030063,31.79184687259163,0.023506132999955298,1.3881158220000316,0.9532571380000263,figures/Set5_butterfly_x3/lime_importance_final.png,figures/Set5_butterfly_x3/shap_importance_final.png
Set14,baboon.png,x4,difficult natural texture,202,192,298,288,8,8,64,96,96,29.62760729615615,29.62760729615615,25.201928785069853,22.626898824266476,4.425678511086296,29.62760729615615,0.021787861999996494,1.3830716190000203,1.3164049609999893,figures/Set14_baboon_x4/lime_importance_final.png,figures/Set14_baboon_x4/shap_importance_final.png
Urban100,img_004.png,x3,architectural edges and repetitive structure,464,292,560,388,8,8,64,96,96,24.52936377350186,24.52936377350186,18.132137400766574,15.659424608470648,6.397226372735286,24.52936377350186,0.11116774999993595,8.026572545000022,8.016269192999971,figures/Urban100_img_004_x3/lime_importance_final.png,figures/Urban100_img_004_x3/shap_importance_final.png
