dataset,image,scale,method,degradation,lr_source_file,metric_border_pixels,dimension_policy,ssim_protocol,nedi_window_size,nedi_edge_threshold,nedi_scale_strategy,nedi_native_passes,nedi_edge_pixel_count,nedi_pixel_count,nedi_bilinear_fallback_count,nedi_numerical_fallback_count,nedi_dimension_adjustment,nedi_native_width,nedi_native_height,nedi_sampling_grid,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,latency_std_ms,latency_min_ms,latency_max_ms,warmup_runs,timed_runs,hr_width,hr_height,lr_width,lr_height,generated_at_utc,python_version,numpy_version,pillow_version,skimage_version,operating_system,processor,compute_instance,execution_mode,worker_count
Urban100,img_058.png,x2,nedi,prepared_bicubic_lr,img_058.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,370122,370122,160477,0,False,1024,692,even_insertion_2x_half_pixel_aligned,27.786300343926783,0.9116740811005365,26.283467630083095,0.9020987448391403,39863.372349,39551.35891150001,686.4689868030054,39176.392174,41458.718294,3,10,1024,692,512,346,2026-08-30T19:44:52.457016+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_059.png,x2,nedi,prepared_bicubic_lr,img_059.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,193993,192092,317017,0,False,1024,664,even_insertion_2x_half_pixel_aligned,23.792364272747037,0.8262773675640854,22.409255014831444,0.8120083997938222,33793.9660617,33704.0506065,1037.304176912277,32254.385193,35921.433996,3,10,1024,664,512,332,2026-08-30T19:43:50.606355+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_060.png,x2,nedi,prepared_bicubic_lr,img_060.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,411254,405339,116050,0,False,1024,680,even_insertion_2x_half_pixel_aligned,23.379220875262554,0.6657362542505596,21.994937933270414,0.651589128942628,40804.6573816,40670.800438,917.6844937460861,39561.377002,42594.417402,3,10,1024,680,512,340,2026-08-30T19:47:54.034096+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_061.png,x2,nedi,prepared_bicubic_lr,img_061.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,329306,325855,189394,0,False,1024,672,even_insertion_2x_half_pixel_aligned,26.352302975414737,0.8268654468107236,24.76305526249532,0.8165310252726597,37781.9625371,37696.983101000005,415.4482913027619,37201.814353,38629.019104,3,10,1024,672,512,336,2026-08-30T19:51:27.343608+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_062.png,x2,nedi,prepared_bicubic_lr,img_062.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,274055,271735,249654,0,False,1024,680,even_insertion_2x_half_pixel_aligned,23.70176556974537,0.8535508296714974,22.302934313189375,0.8398738386679191,37200.2870514,37082.6588055,599.527927412827,36130.527031,38134.533357,3,10,1024,680,512,340,2026-08-30T19:51:52.022187+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_063.png,x2,nedi,prepared_bicubic_lr,img_063.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,435405,430805,303206,0,False,1000,980,even_insertion_2x_half_pixel_aligned,22.615302601746066,0.6587613991277178,21.27589682020762,0.6281556815471414,54776.7761262,54669.251430000004,1144.5426934213865,53131.054786,56891.015552,3,10,1000,980,500,490,2026-08-30T19:56:42.719096+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_064.png,x2,nedi,prepared_bicubic_lr,img_064.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,362770,358666,162723,0,False,1024,680,even_insertion_2x_half_pixel_aligned,28.49283013863115,0.8626890629703897,27.11185631030153,0.8514926881236257,39954.4354783,39664.725743,1206.9937508146054,38347.186607,42365.810362,3,10,1024,680,512,340,2026-08-30T19:56:36.146669+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_065.png,x2,nedi,prepared_bicubic_lr,img_065.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,415242,410255,111134,0,False,1024,680,even_insertion_2x_half_pixel_aligned,27.771027114714514,0.8441795501854881,26.21586462757092,0.8342966765333673,41365.7940973,40871.272616999995,1252.7822099088644,39797.322293,43788.428979,3,10,1024,680,512,340,2026-08-30T20:00:24.852580+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_066.png,x2,nedi,prepared_bicubic_lr,img_066.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,455931,451202,211407,0,False,1024,864,even_insertion_2x_half_pixel_aligned,23.9155191243252,0.7582785109011224,22.577253244494237,0.7423407456268549,51017.043147000004,50866.7122505,1251.9794688540687,48897.249351,53076.801602,3,10,1024,864,512,432,2026-08-30T20:02:55.087273+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_067.png,x2,nedi,prepared_bicubic_lr,img_067.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,237583,236315,285074,0,False,1024,680,even_insertion_2x_half_pixel_aligned,20.511967615750677,0.8819187117479929,19.031133039179025,0.865843872763855,37064.5114777,36968.2265285,922.4660720662279,35908.922455,38572.009132,3,10,1024,680,512,340,2026-08-30T20:04:35.379295+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
