dataset,image,scale,method,degradation,lr_source_file,metric_border_pixels,dimension_policy,ssim_protocol,nedi_window_size,nedi_edge_threshold,nedi_scale_strategy,nedi_native_passes,nedi_edge_pixel_count,nedi_pixel_count,nedi_bilinear_fallback_count,nedi_numerical_fallback_count,nedi_dimension_adjustment,nedi_native_width,nedi_native_height,nedi_sampling_grid,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,latency_std_ms,latency_min_ms,latency_max_ms,warmup_runs,timed_runs,hr_width,hr_height,lr_width,lr_height,generated_at_utc,python_version,numpy_version,pillow_version,skimage_version,operating_system,processor,compute_instance,execution_mode,worker_count
Set14,face.png,x3,nedi,prepared_bicubic_lr,face.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,13544,12821,12388,0,True,184,184,even_insertion_2x_half_pixel_aligned,32.568649780689505,0.7891996707020803,29.613706590468066,0.7101712792493221,1522.556647,1522.0030904999999,21.9401186082164,1492.693054,1560.8944,3,10,276,276,92,92,2026-08-31T17:16:46.450749+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,flowers.png,x3,nedi,prepared_bicubic_lr,flowers.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,39125,38298,21177,0,True,332,240,even_insertion_2x_half_pixel_aligned,26.683836620024437,0.7795630749169028,24.9128123165943,0.7551130936645868,3985.4835106,3964.652613,57.366077329337344,3928.093368,4087.018481,3,10,500,362,166,120,2026-08-31T17:17:37.075792+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,foreman.png,x3,nedi,prepared_bicubic_lr,foreman.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,16301,15160,18324,0,True,234,192,even_insertion_2x_half_pixel_aligned,31.118980654226903,0.9068976058462533,29.55475592989163,0.8895042621137863,2011.6786451,2015.443938,24.32980326292897,1969.490127,2057.677185,3,10,352,288,117,96,2026-08-31T17:17:12.632779+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,lenna.png,x3,nedi,prepared_bicubic_lr,lenna.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,40053,39196,47165,0,True,340,340,even_insertion_2x_half_pixel_aligned,31.393682784032933,0.8507172914381168,29.519000273325993,0.776671590166786,5515.1287771,5523.3189624999995,94.51729761811102,5378.521866,5697.584925,3,10,512,512,170,170,2026-08-31T17:18:03.384566+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,man.png,x3,nedi,prepared_bicubic_lr,man.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,58503,56546,29815,0,True,340,340,even_insertion_2x_half_pixel_aligned,26.71738715044315,0.7308364053900919,25.395465838566416,0.7043034820760493,6075.0916162,6078.352684,69.23211927977275,5963.71991,6205.641479,3,10,512,512,170,170,2026-08-31T17:18:31.517182+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,monarch.png,x3,nedi,prepared_bicubic_lr,monarch.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,58625,57539,72596,0,True,512,340,even_insertion_2x_half_pixel_aligned,28.867555018278786,0.9118926416339578,27.512080682517418,0.8952064921695574,8292.9175371,8274.430589,201.1370361307673,7959.34551,8531.446439,3,10,768,512,256,170,2026-08-31T17:19:17.745977+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,pepper.png,x3,nedi,prepared_bicubic_lr,pepper.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,39430,37782,48579,0,True,340,340,even_insertion_2x_half_pixel_aligned,32.13247172498072,0.8657165030868155,29.79496740871683,0.7802499310307445,5534.6456879,5537.5737545,89.38491613702654,5302.65744,5638.302598,3,10,512,512,170,170,2026-08-31T17:18:49.491805+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,ppt3.png,x3,nedi,prepared_bicubic_lr,ppt3.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,40439,40383,74328,0,True,352,436,even_insertion_2x_half_pixel_aligned,23.169407748487863,0.8717133638029543,21.625717127755614,0.8516975427450607,7021.536956,7003.0459335,135.53239142465844,6795.513983,7275.948561,3,10,529,656,176,218,2026-08-31T17:19:35.075693+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,zebra.png,x3,nedi,prepared_bicubic_lr,zebra.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,62545,60326,15400,0,True,390,260,even_insertion_2x_half_pixel_aligned,26.28246154848597,0.7660340549674823,24.919263481457467,0.7454522756638675,5484.296742500001,5475.591709,137.59427676167172,5291.795052,5698.399416,3,10,586,391,195,130,2026-08-31T17:19:43.079624+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,101085.png,x3,nedi,prepared_bicubic_lr,101085.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,41585,39703,11391,0,True,214,320,even_insertion_2x_half_pixel_aligned,23.661216548908808,0.5549457551153116,22.345010619885525,0.5199540711045354,3828.2963535999997,3829.1623385,70.2370316245936,3695.530656,3983.912837,3,10,321,481,107,160,2026-08-31T17:20:35.990875+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
