dataset,image,scale,method,psnr,ssim,runtime_ms
BSD100,101085.png,x2,bicubic,24.456752453113232,0.7337719763470757,3.8828070009913063
BSD100,101087.png,x2,bicubic,28.86015129829198,0.8893465872986305,4.661537999709253
BSD100,102061.png,x2,bicubic,26.811463763932313,0.8735310145839472,3.184926999892923
BSD100,103070.png,x2,bicubic,31.976079458086232,0.9320473703450475,4.815757998585468
BSD100,105025.png,x2,bicubic,27.497448633735413,0.857440972178073,4.668319999836967
BSD100,106024.png,x2,bicubic,33.90731199640735,0.9359144576234887,4.025954000098864
BSD100,108005.png,x2,bicubic,28.27112817643901,0.887415818069334,4.555654999421677
BSD100,108070.png,x2,bicubic,24.242569419660175,0.7904183920874273,4.964362999089644
BSD100,108082.png,x2,bicubic,28.827695013145977,0.8893625110492019,5.053110999142518
BSD100,109053.png,x2,bicubic,30.71012512700204,0.9009007664508227,5.0399450010445435
BSD100,119082.png,x2,bicubic,25.09437531486341,0.8273699044527042,5.130737999934354
BSD100,12084.png,x2,bicubic,29.66255263009917,0.8849366378395218,4.94946999970125
BSD100,123074.png,x2,bicubic,32.122885517856325,0.9260764535989677,4.906927999400068
BSD100,126007.png,x2,bicubic,29.83366721326687,0.8886574976058644,4.963736999343382
BSD100,130026.png,x2,bicubic,26.25727970046789,0.8303314012125984,5.31602000046405
BSD100,134035.png,x2,bicubic,26.710072398449523,0.8893471781098508,4.801629000212415
BSD100,14037.png,x2,bicubic,34.755438253305705,0.9282507526828221,4.961550001098658
BSD100,143090.png,x2,bicubic,33.57850355114094,0.9374531903565674,4.621969999789144
BSD100,145086.png,x2,bicubic,25.866658403421148,0.8064026722156264,5.492829001013888
BSD100,147091.png,x2,bicubic,26.552114712437778,0.8652270193858281,5.552385999180842
BSD100,148026.png,x2,bicubic,23.19667408334815,0.8157315051336976,4.927890999169904
BSD100,148089.png,x2,bicubic,24.907476057828042,0.7959964703441615,5.281854999338975
BSD100,156065.png,x2,bicubic,25.437532050527395,0.7247295800009163,5.056800000602379
BSD100,157055.png,x2,bicubic,27.388764008461642,0.892173088712456,5.138497999723768
BSD100,159008.png,x2,bicubic,28.99798802516313,0.9138350864845571,4.513995998422615
BSD100,160068.png,x2,bicubic,28.7723811308196,0.9183088927797964,7.3968270007753745
BSD100,16077.png,x2,bicubic,28.991744286179113,0.8574858935479174,4.744638001284329
BSD100,163085.png,x2,bicubic,31.274161205067124,0.905228460288321,4.828348999581067
BSD100,167062.png,x2,bicubic,31.18826009611293,0.9154774412624894,4.924662000121316
BSD100,167083.png,x2,bicubic,20.62664174371055,0.704593290333586,4.865512999458588
BSD100,170057.png,x2,bicubic,31.477671596400334,0.9180251159764579,5.33773400093196
BSD100,175032.png,x2,bicubic,21.90718870418577,0.681955986987087,5.067919999419246
BSD100,175043.png,x2,bicubic,27.0692348910047,0.8588590338302048,5.465569998705178
BSD100,182053.png,x2,bicubic,25.0406729929273,0.8512392585820184,4.86663100127771
BSD100,189080.png,x2,bicubic,34.44582200209577,0.9236235802862046,4.9884880008903565
BSD100,19021.png,x2,bicubic,28.020981953796593,0.8542707235418429,4.703904000052717
BSD100,196073.png,x2,bicubic,28.124184582167054,0.6422421672551969,5.935949999184231
BSD100,197017.png,x2,bicubic,28.389774717238446,0.809141428688272,4.840420000618906
BSD100,208001.png,x2,bicubic,29.913451327714235,0.8718954235206858,4.6880810004950035
BSD100,210088.png,x2,bicubic,33.749830350798284,0.9612682118790324,4.753702000016347
BSD100,21077.png,x2,bicubic,27.4167778218003,0.827872352483492,4.963207000400871
BSD100,216081.png,x2,bicubic,26.157243824116165,0.8074596266631353,6.7577159989014035
BSD100,219090.png,x2,bicubic,27.27440434793038,0.8328353387481534,8.60158599971328
BSD100,220075.png,x2,bicubic,28.521662351773376,0.9313228485451798,5.148648000613321
BSD100,223061.png,x2,bicubic,25.20683578142796,0.8038722870633932,4.802471999937552
BSD100,227092.png,x2,bicubic,34.888376016549906,0.9112328952843916,4.895934000160196
BSD100,229036.png,x2,bicubic,23.994533310867446,0.7946050937270139,4.735628999696928
BSD100,236037.png,x2,bicubic,26.334303174212096,0.8255340523610532,4.589372001646552
BSD100,24077.png,x2,bicubic,27.495457470990896,0.9262470993439718,4.845275998377474
BSD100,241004.png,x2,bicubic,32.70956643162,0.8941025981226147,4.858979000346153
BSD100,241048.png,x2,bicubic,25.748532430531213,0.7794539260674854,4.314936999435304
BSD100,253027.png,x2,bicubic,24.005592406460448,0.83304773063709,4.497260000789538
BSD100,253055.png,x2,bicubic,32.91754675438004,0.8919997338552682,3.5218869998061564
BSD100,260058.png,x2,bicubic,33.391010885372836,0.8680165896510784,2.8730469985021045
BSD100,271035.png,x2,bicubic,28.8217552837925,0.8769011300134807,2.806010001222603
BSD100,285079.png,x2,bicubic,26.33321249348159,0.8274094711849852,3.278673000750132
BSD100,291000.png,x2,bicubic,21.858013660762346,0.6513814599197848,3.1719189992145402
BSD100,295087.png,x2,bicubic,28.209372386875977,0.8310434715770866,2.923793999798363
BSD100,296007.png,x2,bicubic,32.73891814615074,0.868225024188388,4.10348100012925
BSD100,296059.png,x2,bicubic,30.888652973480276,0.8430366359344433,3.358778998517664
BSD100,299086.png,x2,bicubic,32.37323522373972,0.8691149494957564,2.899994000472361
BSD100,300091.png,x2,bicubic,29.39164102753346,0.8619834601632522,2.884763000110979
BSD100,302008.png,x2,bicubic,33.253534160361895,0.9661350887370008,3.4604600004968233
BSD100,304034.png,x2,bicubic,25.661666230257726,0.8495927752335638,3.356881999934558
BSD100,304074.png,x2,bicubic,26.86079108567135,0.78424609504301,3.3897369994519977
BSD100,306005.png,x2,bicubic,29.547374203156025,0.8945580074972287,3.004588001203956
BSD100,3096.png,x2,bicubic,38.40555197146817,0.9804690857994287,2.8845060005551204
BSD100,33039.png,x2,bicubic,22.439111265884407,0.7999126838034675,2.8700610000669258
BSD100,351093.png,x2,bicubic,23.366601263296065,0.7918593880157477,3.039291001186939
BSD100,361010.png,x2,bicubic,29.587330342881195,0.8910623569777801,2.807742001095903
BSD100,37073.png,x2,bicubic,30.0788446148073,0.8402065553761995,2.9270430004544323
BSD100,376043.png,x2,bicubic,26.779794891149958,0.8079277245670022,2.9856910005037207
BSD100,38082.png,x2,bicubic,28.441536952583164,0.7935273917533565,3.421560000788304
BSD100,38092.png,x2,bicubic,27.02678478092467,0.8246713280890353,3.232614999433281
BSD100,385039.png,x2,bicubic,24.645034002902555,0.7979120083639067,2.8182160003780155
BSD100,41033.png,x2,bicubic,30.61941090015631,0.8732900855022395,3.011998000147287
BSD100,41069.png,x2,bicubic,24.621277128723822,0.720937655133444,3.159019001031993
BSD100,42012.png,x2,bicubic,30.930621564163282,0.9024192999715505,2.8882719998364337
BSD100,42049.png,x2,bicubic,30.41777856445471,0.9464664141722352,3.0660319989692653
BSD100,43074.png,x2,bicubic,31.018690010702276,0.9023610196862042,4.144627000641776
BSD100,45096.png,x2,bicubic,36.44380726827592,0.9525330869457255,3.0835399993520696
BSD100,54082.png,x2,bicubic,28.74742211799541,0.805404187026351,4.566145000353572
BSD100,55073.png,x2,bicubic,23.06909987131368,0.7227126397445279,2.933820000180276
BSD100,58060.png,x2,bicubic,22.05765415345781,0.7548922098641015,3.812434000792564
BSD100,62096.png,x2,bicubic,25.448392629191066,0.8502970857331874,3.258112999901641
BSD100,65033.png,x2,bicubic,25.973723206966582,0.773517691765242,2.885620000597555
