dataset,image,scale,method,psnr,ssim,runtime_ms
Set14,baboon.png,x2,bicubic,22.544819808768565,0.6685170982871913,4.357989999334677
Set14,barbara.png,x2,bicubic,26.426482825887824,0.8306582681259002,12.28410099975008
Set14,bridge.png,x2,bicubic,26.49329429655367,0.8165519864720968,4.882330000327784
Set14,coastguard.png,x2,bicubic,27.801513581882457,0.7901300878628824,2.203546000600909
Set14,comic.png,x2,bicubic,24.59923820624432,0.8624966167098403,2.0110969999223016
Set14,face.png,x2,bicubic,31.48378275971032,0.8198877003778616,1.4894460000505205
Set14,flowers.png,x2,bicubic,28.56451445838583,0.8939584633978782,5.740973001593375
Set14,foreman.png,x2,bicubic,31.186727034439077,0.944933390738,1.8295400004717521
Set14,lenna.png,x2,bicubic,32.40007783144603,0.8620533426235055,5.3399520002130885
Set14,man.png,x2,bicubic,27.943988194753384,0.8480139137265083,4.890374999376945
Set14,monarch.png,x2,bicubic,31.587415570012606,0.953788635870862,6.95397199888248
Set14,pepper.png,x2,bicubic,30.46590272167329,0.8478963222640318,4.809833999388502
Set14,ppt3.png,x2,bicubic,25.580184363033656,0.9360059144703055,6.379051001204061
Set14,zebra.png,x2,bicubic,29.394343458102504,0.9172596519689157,4.1502410003886325
