config_id,edge_percentile,edge_nedi_weight,edge_imdn_weight,dilation_radius,sample_count,mean_edge_pixel_fraction,mean_psnr_y,mean_ssim_y,mean_psnr_rgb,mean_ssim_rgb,psnr_y_change_vs_imdn,ssim_y_change_vs_imdn
edge_p80_nedi_0p05_d1,80.0,0.05,0.95,1,15,0.3475699588477366,36.68358205863125,0.9171660220326432,35.06175141659195,0.9025235258548924,-0.020498052127933875,-0.0002731441426601089
edge_p80_nedi_0p10_d1,80.0,0.1,0.9,1,15,0.3475699588477366,36.62856859382025,0.9166201402855367,35.00982976312645,0.9018842150059174,-0.07551151693893843,-0.000819025889766567
edge_p80_nedi_0p20_d1,80.0,0.2,0.8,1,15,0.3475699588477366,36.438235948713626,0.9152408619847369,34.83357351120615,0.9002970976790265,-0.2658441620455605,-0.0021983041905664358
edge_p80_nedi_0p30_d1,80.0,0.3,0.7,1,15,0.3475699588477366,36.15362356290271,0.91328789575197,34.568584816239564,0.8980627708848891,-0.5504565478564771,-0.0041512704233332975
edge_p90_nedi_0p05_d1,90.0,0.05,0.95,1,15,0.19173508230452674,36.686676509079014,0.9172654998831383,35.065098588780266,0.9026386342102058,-0.017403601680172187,-0.00017366629216497564
edge_p90_nedi_0p10_d1,90.0,0.1,0.9,1,15,0.19173508230452674,36.64143103052905,0.9169598092267446,35.02374180905576,0.9022865274813302,-0.0626490802301376,-0.0004793569485587179
edge_p90_nedi_0p20_d1,90.0,0.2,0.8,1,15,0.19173508230452674,36.48200923745667,0.9161274364638023,34.88032776240942,0.9013417119928976,-0.2220708733025134,-0.001311729711500953
edge_p90_nedi_0p30_d1,90.0,0.3,0.7,1,15,0.19173508230452674,36.2408684439599,0.9149285773260106,34.66112411454124,0.8999848672615205,-0.46321166679928893,-0.002510588849292672
edge_p95_nedi_0p05_d1,95.0,0.05,0.95,1,15,0.10180195473251029,36.691024724509134,0.9173396676664703,35.06914021027151,0.9027216087828092,-0.013055386250051981,-9.949850883295142e-05
edge_p95_nedi_0p10_d1,95.0,0.1,0.9,1,15,0.10180195473251029,36.65665678780024,0.9171766217554165,35.03862873973204,0.9025374597032032,-0.04742332295894869,-0.0002625444198868232
edge_p95_nedi_0p20_d1,95.0,0.2,0.8,1,15,0.10180195473251029,36.53106909535797,0.9166992679641003,34.92838589476076,0.9020001816947735,-0.17301101540121522,-0.0007398982112030161
edge_p95_nedi_0p30_d1,95.0,0.3,0.7,1,15,0.10180195473251029,36.33719020518387,0.9159988544269162,34.75607051960611,0.9012124515197958,-0.366889905575313,-0.001440311748387102
imdn_only,not_applicable,0.0,1.0,0,15,0.0,36.704080110759186,0.9174391661753033,35.08083151547757,0.902831827994571,0.0,0.0
