scale,sample_count,mean_imdn_weight,mean_nedi_weight,minimum_imdn_weight,maximum_imdn_weight,mean_fusion_psnr_y,mean_imdn_psnr_y,mean_psnr_y_change_vs_imdn,mean_fusion_ssim_y,mean_imdn_ssim_y,mean_ssim_y_change_vs_imdn,fusion_psnr_y_win_count
x2,5,0.9988528461307342,0.0011471538692657379,0.9966077001635446,1.0,40.26400347929165,40.26400347929165,0.0,0.9640736757577727,0.9640736757577727,0.0,0
x3,5,1.0,0.0,1.0,1.0,36.11548613021479,36.11548613021479,0.0,0.9176369122493688,0.9176369122493688,0.0,0
x4,5,1.0,0.0,1.0,1.0,33.732750722771115,33.732750722771115,0.0,0.8706069105187685,0.8706069105187685,0.0,0
overall,15,0.9996176153769114,0.0003823846230885793,0.9966077001635446,1.0,36.704080110759186,36.704080110759186,0.0,0.9174391661753033,0.9174391661753033,0.0,0
