dataset,scale,method,image_count,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms
Set5,x2,nedi,5,33.15639267440928,0.9243834472195921,31.191154079344688,0.897427096615419,5749.56634728,5627.0562718
Set5,x3,nedi,5,29.886498143999674,0.8595540502692403,28.081080037469736,0.8233894014271386,2334.02125198,2326.0765673
Set5,x4,nedi,5,27.747317111471244,0.798319133793417,25.93718010494256,0.7461206672848464,5963.0812526400005,5939.1548126
Set14,x2,nedi,14,29.875492808619732,0.855045800494182,28.045650143634287,0.8253634521381616,12856.77789582857,12783.350557821428
Set14,x3,nedi,14,27.295662965937282,0.7588076188483568,25.59616026907107,0.7205302122522825,5026.176795828572,5021.6873347857145
Set14,x4,nedi,14,25.696953632659522,0.6863454609049672,24.021089389324985,0.6409805398761687,12813.969239342858,12801.45082025
BSD100,x2,nedi,100,29.04559853226085,0.8204085117779955,27.652769446209188,0.8027015797438344,8261.011700173,8248.19284064
BSD100,x3,nedi,100,26.850632466848026,0.7174069959679994,25.48934811706289,0.6912366566905982,3381.122205255,3379.0339483
BSD100,x4,nedi,100,25.53212418457145,0.6447946878887423,24.121113797737156,0.6107356634122671,8228.223882581,8216.42713374
Urban100,x2,nedi,100,26.91847743625579,0.8370461141228952,25.44503149648274,0.8208578792770811,42602.275068386,42366.31400691
Urban100,x3,nedi,100,24.38164686373083,0.7286137297380254,22.929113313940444,0.7047846500552919,17026.016969073,17025.033802625
Urban100,x4,nedi,100,22.983716485681462,0.6506060562957264,21.506456332247513,0.6187341196792452,46718.546898981,46671.799685555
