dataset,scale,method,image_count,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms
Set5,x2,bicubic,5,33.67331115937241,0.9302910194648595,31.7870492364823,0.9086651836587324,2.06164508,2.0420084000000003
Set5,x3,bicubic,5,30.39541209475994,0.8683844561757821,28.612665582542164,0.8375868515165985,1.8636601799999999,1.8375550999999999
Set5,x4,bicubic,5,28.429255869603413,0.8110747936464384,26.69231777574112,0.7730317133836254,1.66775746,1.623839
Set14,x2,bicubic,14,30.346016169909227,0.8701414235356757,28.539660622934207,0.8428156596204424,6.144668664285715,5.860186107142857
Set14,x3,bicubic,14,27.622571065068602,0.7751851738992321,25.936589277183778,0.7394344941822176,6.4508017,6.279665607142857
Set14,x4,bicubic,14,26.094823561386495,0.7045426731288671,24.46680938331497,0.6633901729685394,3.77052725,3.74733025
BSD100,x2,bicubic,100,29.59837191121926,0.844629898681799,28.266996543244684,0.8308014592009962,3.186390143,3.12820867
BSD100,x3,bicubic,100,27.20041471294062,0.7387246805278582,25.874709727030908,0.7159541691947059,3.049588394,2.995207845
BSD100,x4,bicubic,100,25.956437011248354,0.6675044797967447,24.63010838721472,0.6391481878905022,2.662921933,2.62190036
Urban100,x2,bicubic,100,26.875821276089876,0.8404642480834588,25.44157257601937,0.8271261572710591,17.184672448,16.498145155
Urban100,x3,bicubic,100,24.448205161764673,0.7346394343003105,23.016381610309786,0.7137249041249838,14.950274893,14.53498602
Urban100,x4,bicubic,100,23.14011483326603,0.6580467654831712,21.70627352129424,0.6317764587762305,13.852849519,13.561452955
