dataset,image,scale,method,selection_reason,psnr_y,ssim_y,psnr_rgb,ssim_rgb
Set5,baby.png,x2,bicubic,smooth face and gradual colour regions,37.077835430527195,0.9523474763309621,35.58754705040039,0.9412840682450123
Set5,baby.png,x2,nedi,smooth face and gradual colour regions,36.117090809320395,0.9420854408015169,34.43138632180045,0.9267201717332997
Set5,baby.png,x2,fsrcnn,smooth face and gradual colour regions,38.4295300554704,0.9659310359019492,36.86530594017308,0.9572384178871612
Set5,baby.png,x2,imdn,smooth face and gradual colour regions,38.9068345644496,0.9678406251859305,37.36965348778183,0.9600473531471261
Set5,baby.png,x3,bicubic,smooth face and gradual colour regions,33.917589473297994,0.9048971770639925,32.45811981680599,0.8838617910836604
Set5,baby.png,x3,nedi,smooth face and gradual colour regions,33.11220555510565,0.8896797916252378,31.572350734988678,0.8640096856108676
Set5,baby.png,x3,fsrcnn,smooth face and gradual colour regions,35.051077340031796,0.9202013194283493,33.490667060773454,0.900301754487586
Set5,baby.png,x3,imdn,smooth face and gradual colour regions,35.68436409940969,0.9297472440271178,34.15066629237852,0.9127253826534485
Set5,baby.png,x4,bicubic,smooth face and gradual colour regions,31.782616032384485,0.8574911597383759,30.363833549275867,0.8283990402587239
Set5,baby.png,x4,nedi,smooth face and gradual colour regions,30.831988364533828,0.8380770759868341,29.209853709348927,0.8004776219240456
Set5,baby.png,x4,fsrcnn,smooth face and gradual colour regions,33.0147318668252,0.8724786127393154,31.468659137612597,0.8417432675309374
Set5,baby.png,x4,imdn,smooth face and gradual colour regions,33.781759820512804,0.8935227914610681,32.27350275963808,0.8686770580439241
Set5,butterfly.png,x2,bicubic,fine lines and high-frequency texture,27.436967452392782,0.9158169578546477,26.091621854854544,0.8985545561629124
Set5,butterfly.png,x2,nedi,fine lines and high-frequency texture,27.187479578888976,0.915853889242998,25.823359005043503,0.8972647253423173
Set5,butterfly.png,x2,fsrcnn,fine lines and high-frequency texture,33.502442984074236,0.9704325097306424,31.956220691823,0.9612172312768075
Set5,butterfly.png,x2,imdn,fine lines and high-frequency texture,35.364561626435155,0.9782987662830303,33.77020818215878,0.9703713507304784
Set5,butterfly.png,x3,bicubic,fine lines and high-frequency texture,23.992258260382965,0.8207802014451275,22.715074999323456,0.7916958643883119
Set5,butterfly.png,x3,nedi,fine lines and high-frequency texture,23.637863669237298,0.8197308368025891,22.347390453702175,0.7891616538380255
Set5,butterfly.png,x3,fsrcnn,fine lines and high-frequency texture,27.715926465177073,0.9085011579138518,26.29947416989218,0.8888230521294203
Set5,butterfly.png,x3,imdn,fine lines and high-frequency texture,30.836729312630222,0.9500130530406881,29.355192724526262,0.9359714480696569
Set5,butterfly.png,x4,bicubic,fine lines and high-frequency texture,22.100703650607425,0.7372824654310342,20.864476343503252,0.7008990262377933
Set5,butterfly.png,x4,nedi,fine lines and high-frequency texture,21.55821999019277,0.7347195649140619,20.290686853023395,0.695115514318774
Set5,butterfly.png,x4,fsrcnn,fine lines and high-frequency texture,25.386829125295193,0.8565496698196291,23.99438447777792,0.8289203187995405
Set5,butterfly.png,x4,imdn,fine lines and high-frequency texture,28.552702078335788,0.9241305188220036,27.12799641018149,0.9048537106248169
Set14,baboon.png,x2,bicubic,difficult natural texture,24.8617294267854,0.6981145621408454,22.69206283336864,0.6369173040463458
Set14,baboon.png,x2,nedi,difficult natural texture,24.664653739934007,0.6756215513089893,22.519469828549546,0.6150261554572131
Set14,baboon.png,x2,fsrcnn,difficult natural texture,25.782706682099985,0.7722506673054258,23.37771740879362,0.699937988166925
Set14,baboon.png,x2,imdn,difficult natural texture,26.357911118409163,0.7951952986538753,24.00872708579189,0.737601764573553
Set14,baboon.png,x3,bicubic,difficult natural texture,23.20526989444707,0.5433009763049759,21.152940250180347,0.4799934562807821
Set14,baboon.png,x3,nedi,difficult natural texture,23.047129275923616,0.5207258992144096,21.00977526006828,0.45816467378557646
Set14,baboon.png,x3,fsrcnn,difficult natural texture,23.63300805978765,0.6080002043289385,21.482256648429168,0.5343568602342523
Set14,baboon.png,x3,imdn,difficult natural texture,24.043605968215612,0.6400097005235055,21.927637177550523,0.5747777108354317
Set14,baboon.png,x4,bicubic,difficult natural texture,22.439680640100196,0.4528313206234114,20.426833665282743,0.39090236160469066
Set14,baboon.png,x4,nedi,difficult natural texture,22.24466264725708,0.4304258301714042,20.231857919376765,0.36868811021153264
Set14,baboon.png,x4,fsrcnn,difficult natural texture,22.753444347537002,0.5079262599642381,20.675172898694836,0.43597302138752436
Set14,baboon.png,x4,imdn,difficult natural texture,22.995976935284528,0.5320192800357306,20.97346701530509,0.467669670153758
Urban100,img_004.png,x2,bicubic,architectural edges and repetitive structure,26.10751204688348,0.8989876804748691,24.80972717933838,0.8907588018695757
Urban100,img_004.png,x2,nedi,architectural edges and repetitive structure,25.234470015607137,0.8833737207022637,23.91925958291999,0.8714185667641557
Urban100,img_004.png,x2,fsrcnn,architectural edges and repetitive structure,29.223915771489658,0.9514218060203606,27.865057699300813,0.9457512152458957
Urban100,img_004.png,x2,imdn,architectural edges and repetitive structure,31.37641442738857,0.970604782076228,30.000778653099445,0.9666445673966901
Urban100,img_004.png,x3,bicubic,architectural edges and repetitive structure,22.802600020081503,0.7833458396631091,21.521858560978373,0.7653675915014683
Urban100,img_004.png,x3,nedi,architectural edges and repetitive structure,22.05621751610615,0.7550626360129027,20.762295369559915,0.731056354655571
