imdn_weight,nedi_weight,sample_count,mean_psnr_y,mean_ssim_y,mean_psnr_rgb,mean_ssim_rgb
0.0,1.0,15,32.72039050146239,0.861043623713414,31.109279260147904,0.8336678990744402
0.1,0.9,15,33.16521076013045,0.8699101625827608,31.544760375392414,0.8439551038485303
0.2,0.8,15,33.692550766290644,0.8798111260118,32.085694385874426,0.8567166749030971
0.3,0.7,15,34.21844863585493,0.8881998300365922,32.61468528364286,0.8670363320639681
0.4,0.6,15,34.696458900080486,0.8950071529094965,33.09295462540838,0.8753725401449112
0.5,0.5,15,35.18763029836081,0.9010517077724054,33.571712887234426,0.8825459952472176
0.6,0.4,15,35.65809717022902,0.9063069195934506,34.03994540543334,0.8890649611393211
0.7,0.30000000000000004,15,36.047615251454324,0.9102896397895722,34.42208807366643,0.8938992857489082
0.8,0.19999999999999996,15,36.390268798043806,0.9136064861044138,34.76248223418941,0.8979333500862128
0.9,0.09999999999999998,15,36.61758695660442,0.9160703016791,34.99415623617555,0.9010961926976893
1.0,0.0,15,36.704080110759186,0.9174391661753033,35.08083151547757,0.902831827994571
